,Date,H_TDH_U_L2_N
189,2022-06-28T01:47:00Z,5.397181539746623
190,2022-06-28T01:48:00Z,5.246174509257966
191,2022-06-28T01:49:00Z,5.220929468884868
192,2022-06-28T01:50:00Z,5.29620137825421
193,2022-06-28T01:51:00Z,5.144962741890574
194,2022-06-28T01:52:00Z,5.072933314770987
195,2022-06-28T01:53:00Z,5.478011990115553
196,2022-06-28T01:54:00Z,5.366841170123904
197,2022-06-28T01:55:00Z,5.271419549631073
198,2022-06-28T01:56:00Z,5.356187299874704
199,2022-06-28T01:57:00Z,5.1097586488932185
200,2022-06-28T01:58:00Z,5.548651781985243
201,2022-06-28T01:59:00Z,5.725135458721983
202,2022-06-28T02:00:00Z,5.486581407489904
203,2022-06-28T02:01:00Z,5.469992146003867
204,2022-06-28T02:02:00Z,4.955045924404844
205,2022-06-28T02:03:00Z,5.255207138382293
206,2022-06-28T02:04:00Z,5.70660698872337
207,2022-06-28T02:05:00Z,4.988397170402341
208,2022-06-28T02:06:00Z,5.259839255881942
209,2022-06-28T02:07:00Z,5.122265366142279
210,2022-06-28T02:08:00Z,4.823262181539744
211,2022-06-28T02:09:00Z,5.451608920367534
212,2022-06-28T02:10:00Z,5.008315275650842
213,2022-06-28T02:11:00Z,5.299212254628983
214,2022-06-28T02:12:00Z,5.204022240011135
215,2022-06-28T02:13:00Z,4.880932044410411
216,2022-06-28T02:14:00Z,5.057415721147153
217,2022-06-28T02:15:00Z,5.314498242377836
218,2022-06-28T02:16:00Z,5.160480335514407
219,2022-06-28T02:17:00Z,5.571117551858556
220,2022-06-28T02:18:00Z,4.940686360155921
221,2022-06-28T02:19:00Z,5.129445148266736
222,2022-06-28T02:20:00Z,5.060194991646945
223,2022-06-28T02:21:00Z,4.9087208238850195
224,2022-06-28T02:22:00Z,4.977743300153136
225,2022-06-28T02:23:00Z,5.074786161770847
226,2022-06-28T02:24:00Z,4.8376217457886685
227,2022-06-28T02:25:00Z,4.787363270917447
228,2022-06-28T02:26:00Z,5.011094546150628
229,2022-06-28T02:27:00Z,4.900850149658915
230,2022-06-28T02:28:00Z,5.05255199777252
231,2022-06-28T02:29:00Z,4.9135884727829575
232,2022-06-28T02:30:00Z,5.015263451900318
233,2022-06-28T02:31:00Z,5.2494169915077284
234,2022-06-28T02:32:00Z,5.098873172769037
235,2022-06-28T02:33:00Z,5.3615142349993015
236,2022-06-28T02:34:00Z,5.182714499512737
237,2022-06-28T02:35:00Z,5.044214186273142
238,2022-06-28T02:36:00Z,5.3362691946262
239,2022-06-28T02:37:00Z,5.380042704997913
240,2022-06-28T02:38:00Z,5.581308210357789
241,2022-06-28T02:39:00Z,5.304770795628564
242,2022-06-28T02:40:00Z,5.219771439509954
243,2022-06-28T02:41:00Z,5.255207138382289
244,2022-06-28T02:42:00Z,5.123054396326542
245,2022-06-28T02:43:00Z,5.239689544758455
246,2022-06-28T02:44:00Z,5.57250718710845
247,2022-06-28T02:45:00Z,5.320519995127381
248,2022-06-28T02:46:00Z,5.038887251148544
249,2022-06-28T02:47:00Z,5.228804068634278
250,2022-06-28T02:48:00Z,5.4252058506195215
251,2022-06-28T02:49:00Z,5.347386276625366
252,2022-06-28T02:50:00Z,5.182019681887791
253,2022-06-28T02:51:00Z,5.141777211905159
254,2022-06-28T02:52:00Z,5.305826761397556
255,2022-06-28T02:53:00Z,5.362209052624251
256,2022-06-28T02:54:00Z,5.167660117638868
257,2022-06-28T02:55:00Z,5.447903226367815
258,2022-06-28T02:56:00Z,5.139635806765975
259,2022-06-28T02:57:00Z,5.251269838507586
260,2022-06-28T02:58:00Z,5.73833699359599
261,2022-06-28T02:59:00Z,5.001830311151329
262,2022-06-28T03:00:00Z,5.23297297438396
263,2022-06-28T03:01:00Z,5.227182827509394
264,2022-06-28T03:02:00Z,5.122112270733393
265,2022-06-28T03:03:00Z,5.874984459835721
266,2022-06-28T03:04:00Z,5.698269177223996
267,2022-06-28T03:05:00Z,4.837158534038703
268,2022-06-28T03:06:00Z,5.049541121397744
269,2022-06-28T03:07:00Z,4.963152130029233
270,2022-06-28T03:08:00Z,4.9485609599053335
271,2022-06-28T03:09:00Z,5.658896178476958
272,2022-06-28T03:10:00Z,4.629871275929278
273,2022-06-28T03:11:00Z,5.153532159264931
274,2022-06-28T03:12:00Z,5.471527025616038
275,2022-06-28T03:13:00Z,4.946772658805056
276,2022-06-28T03:14:00Z,5.2964055054660575
277,2022-06-28T03:15:00Z,5.251733050257553
278,2022-06-28T03:16:00Z,5.205411875261033
279,2022-06-28T03:17:00Z,4.988628776277318
280,2022-06-28T03:18:00Z,5.316814301127662
281,2022-06-28T03:19:00Z,5.245479691633022
282,2022-06-28T03:20:00Z,5.65194800222748
283,2022-06-28T03:21:00Z,5.110453466518164
284,2022-06-28T03:22:00Z,5.199390122511485
285,2022-06-28T03:23:00Z,5.2450596606394075
286,2022-06-28T03:24:00Z,4.895986426284284
287,2022-06-28T03:25:00Z,4.949718989280246
288,2022-06-28T03:26:00Z,5.597983833356534
289,2022-06-28T03:27:00Z,4.772077283168593
290,2022-06-28T03:28:00Z,5.588024780732285
291,2022-06-28T03:29:00Z,4.985617899902548
292,2022-06-28T03:30:00Z,5.056489297647222
293,2022-06-28T03:31:00Z,4.979132935403036
294,2022-06-28T03:32:00Z,4.798248747041623
295,2022-06-28T03:33:00Z,4.974269212028399
296,2022-06-28T03:34:00Z,5.12782390714186
297,2022-06-28T03:35:00Z,4.850823280662676
298,2022-06-28T03:36:00Z,5.224171951134623
299,2022-06-28T03:37:00Z,5.778404809967982
300,2022-06-28T03:38:00Z,4.85661342753724
301,2022-06-28T03:39:00Z,5.686920489349852
302,2022-06-28T03:40:00Z,4.769066406793816
