,Date,P_SUM
172,2022-06-28T01:30:00Z,104984.90407305353
173,2022-06-28T01:31:00Z,119470.23319716407
174,2022-06-28T01:32:00Z,113239.47422596996
175,2022-06-28T01:33:00Z,108168.29994316491
176,2022-06-28T01:34:00Z,109599.64565673823
177,2022-06-28T01:35:00Z,108355.65186257561
178,2022-06-28T01:36:00Z,105635.61349060855
179,2022-06-28T01:37:00Z,123168.7890114923
180,2022-06-28T01:38:00Z,112411.83285053086
181,2022-06-28T01:39:00Z,109416.56789398527
182,2022-06-28T01:40:00Z,118177.30556916381
183,2022-06-28T01:41:00Z,112290.35200498054
184,2022-06-28T01:42:00Z,118540.86622803245
185,2022-06-28T01:43:00Z,112979.97304539032
186,2022-06-28T01:44:00Z,122205.72472431886
187,2022-06-28T01:45:00Z,111583.68838855908
188,2022-06-28T01:46:00Z,106190.82544259077
189,2022-06-28T01:47:00Z,121712.50983043105
190,2022-06-28T01:48:00Z,113179.87252500946
191,2022-06-28T01:49:00Z,109796.92709067227
192,2022-06-28T01:50:00Z,117331.01795627727
193,2022-06-28T01:51:00Z,110628.55723549964
194,2022-06-28T01:52:00Z,107768.98477854604
195,2022-06-28T01:53:00Z,122954.57193861781
196,2022-06-28T01:54:00Z,110958.50117446743
197,2022-06-28T01:55:00Z,111660.3932022249
198,2022-06-28T01:56:00Z,114414.67289092757
199,2022-06-28T01:57:00Z,109948.59246294445
200,2022-06-28T01:58:00Z,118459.82988089777
201,2022-06-28T01:59:00Z,121171.02590418086
202,2022-06-28T02:00:00Z,111581.36637395776
203,2022-06-28T02:01:00Z,115953.23762406818
204,2022-06-28T02:02:00Z,101740.907480229
205,2022-06-28T02:03:00Z,112690.44300387212
206,2022-06-28T02:04:00Z,128156.44228177484
207,2022-06-28T02:05:00Z,98094.80421619018
208,2022-06-28T02:06:00Z,112520.39077511102
209,2022-06-28T02:07:00Z,109420.79415347886
210,2022-06-28T02:08:00Z,101955.31131878162
211,2022-06-28T02:09:00Z,120307.21235757844
212,2022-06-28T02:10:00Z,109060.88172395638
213,2022-06-28T02:11:00Z,118816.36240046869
214,2022-06-28T02:12:00Z,112866.70456776844
215,2022-06-28T02:13:00Z,101381.91740373464
216,2022-06-28T02:14:00Z,104872.29468036682
217,2022-06-28T02:15:00Z,107399.33425684708
218,2022-06-28T02:16:00Z,100790.58101144349
219,2022-06-28T02:17:00Z,118688.96276265023
220,2022-06-28T02:18:00Z,87574.03362808566
221,2022-06-28T02:19:00Z,97692.98093653026
222,2022-06-28T02:20:00Z,92872.31763638859
223,2022-06-28T02:21:00Z,87277.63844476937
224,2022-06-28T02:22:00Z,90777.9035401356
225,2022-06-28T02:23:00Z,96552.84582295871
