,Date,RealE_SUM
261,2022-06-28T02:59:00Z,199240149.33230966
262,2022-06-28T03:00:00Z,199245901.88599756
263,2022-06-28T03:01:00Z,199251348.90713677
264,2022-06-28T03:02:00Z,199256927.84127182
265,2022-06-28T03:03:00Z,199263074.12935978
266,2022-06-28T03:04:00Z,199269858.26606202
267,2022-06-28T03:05:00Z,199275439.98434636
268,2022-06-28T03:06:00Z,199281159.6850721
269,2022-06-28T03:07:00Z,199286649.41506228
270,2022-06-28T03:08:00Z,199292080.00972039
271,2022-06-28T03:09:00Z,199298377.92258152
272,2022-06-28T03:10:00Z,199304391.65731928
273,2022-06-28T03:11:00Z,199309730.26368308
274,2022-06-28T03:12:00Z,199315597.802739
275,2022-06-28T03:13:00Z,199322011.26646978
276,2022-06-28T03:14:00Z,199327475.9582853
277,2022-06-28T03:15:00Z,199333589.72750878
278,2022-06-28T03:16:00Z,199338992.39714894
279,2022-06-28T03:17:00Z,199344914.14359257
280,2022-06-28T03:18:00Z,199350814.53561068
281,2022-06-28T03:19:00Z,199356202.42141774
282,2022-06-28T03:20:00Z,199362590.679925
283,2022-06-28T03:21:00Z,199369115.27822575
284,2022-06-28T03:22:00Z,199374524.51845834
285,2022-06-28T03:23:00Z,199380308.53303385
286,2022-06-28T03:24:00Z,199386034.55377856
287,2022-06-28T03:25:00Z,199391578.4911565
288,2022-06-28T03:26:00Z,199397528.16261786
289,2022-06-28T03:27:00Z,199403808.00634986
290,2022-06-28T03:28:00Z,199409176.18037966
291,2022-06-28T03:29:00Z,199415385.3902427
292,2022-06-28T03:30:00Z,199420949.03939775
293,2022-06-28T03:31:00Z,199426634.24451324
294,2022-06-28T03:32:00Z,199432309.5937401
295,2022-06-28T03:33:00Z,199437731.9751574
296,2022-06-28T03:34:00Z,199443597.87156528
297,2022-06-28T03:35:00Z,199449181.2324975
298,2022-06-28T03:36:00Z,199454764.59343004
299,2022-06-28T03:37:00Z,199461092.0739573
300,2022-06-28T03:38:00Z,199467071.3130847
301,2022-06-28T03:39:00Z,199472907.64182642
302,2022-06-28T03:40:00Z,199478822.81767744
303,2022-06-28T03:41:00Z,199484411.10655424
304,2022-06-28T03:42:00Z,199489794.0644172
305,2022-06-28T03:43:00Z,199496420.5069006
306,2022-06-28T03:44:00Z,199501935.21071044
307,2022-06-28T03:45:00Z,199507700.5714852
308,2022-06-28T03:46:00Z,199512676.15261632
309,2022-06-28T03:47:00Z,199517880.0618348
310,2022-06-28T03:48:00Z,199523259.73440143
311,2022-06-28T03:49:00Z,199528764.24822456
312,2022-06-28T03:50:00Z,199534283.5458806
313,2022-06-28T03:51:00Z,199539702.642002
